City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
426,Champerico,GT,89.6,few clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
428,Dolores,AR,84.78,overcast clouds,-36.31,-57.68,Apart Hotel - Arianos
432,Tabou,CI,79.14,scattered clouds,4.42,-7.35,hotêl doufoulougou
433,La Romana,DO,84.2,scattered clouds,18.43,-68.97,Casa de Campo Resort and Villas
439,Young,UY,84.99,clear sky,-32.68,-57.63,Posada Gira el Sol
442,Caravelas,BR,77.52,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
443,Dhidhdhoo,MV,83.03,few clouds,6.88,73.1,Dhidhoo beach
446,Rio Grande,BR,87.8,scattered clouds,-32.03,-52.1,Hotel Atlântico Rio Grande
448,Touros,BR,82.4,scattered clouds,-5.2,-35.46,INN NEW HORIZON
449,Alegrete,BR,87.75,scattered clouds,-29.78,-55.79,Hotel Alegrete
458,Bubaque,GW,81.84,broken clouds,11.28,-15.83,"Casa Dora, Bubaque"
463,The Valley,AI,84.2,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
464,Mahina,PF,86.0,few clouds,-17.51,-149.49,Guest Beach Bungalow Tahiti
465,Muisne,EC,84.2,broken clouds,0.6,-80.03,Quinta Samay
467,Guarapari,BR,82.4,few clouds,-20.67,-40.5,Hotel Porto do Sol
477,Doha,QA,75.2,clear sky,25.29,51.53,Doha Marriott Hotel
479,Ko Samui,TH,81.93,overcast clouds,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
480,Labuhan,ID,75.88,overcast clouds,-6.88,112.21,bador sepret
488,Padang,ID,77.0,broken clouds,-0.95,100.35,Mercure Padang
491,Orocue,CO,85.46,few clouds,4.79,-71.34,Hotel Brisas de San Miguel
496,Porto Belo,BR,84.99,clear sky,-27.16,-48.55,Costa Verde Beach Hotel
499,Najran,SA,75.2,broken clouds,17.49,44.13,محمد هادي ال فطيح
501,Marsh Harbour,BS,77.79,overcast clouds,26.54,-77.06,Abaco Beach Resort
507,Bonthe,SL,79.38,broken clouds,7.53,-12.51,Bonthe Holiday Village
508,Puerto Narino,CO,89.6,scattered clouds,-3.77,-70.38,Eware Refugio Amazonico
511,Mount Isa,AU,77.0,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
513,Moree,AU,77.0,overcast clouds,-29.47,149.85,Molika Springs Motel
516,Isabela,PH,78.93,overcast clouds,6.71,121.97,Isawad Resort
517,Tual,ID,84.04,overcast clouds,-5.67,132.75,Grand Vilia Hotel
518,Tonantins,BR,85.28,moderate rain,-2.87,-67.8,Hotel Rei Davi
522,Bodden Town,KY,82.4,few clouds,19.28,-81.25,Will T Place
526,Meulaboh,ID,76.12,broken clouds,4.14,96.13,Kost Pria
527,Morant Bay,JM,86.0,few clouds,17.88,-76.41,Whispering Bamboo Cove Resort
528,Puerto Colombia,CO,80.6,heavy intensity rain,10.99,-74.95,Hotel El Emigrante
530,Morondava,MG,80.04,broken clouds,-20.28,44.28,La Case Bambou
533,Nabire,ID,76.48,moderate rain,-3.37,135.48,Hotel Nusantara Nabire
534,Sorong,ID,80.49,moderate rain,-0.88,131.25,The Waigo Hotel
535,Soyo,AO,79.5,overcast clouds,-6.13,12.37,Hotel Mpampa
540,Jacareacanga,BR,87.01,overcast clouds,-6.22,-57.75,Casa do Ian😎
543,Phangnga,TH,78.8,moderate rain,8.45,98.53,Rattanapong Hotel
548,San Andres,CO,75.2,thunderstorm with light rain,12.58,-81.7,Hotel Arena Blanca
550,Moerai,PF,78.28,overcast clouds,-22.43,-151.33,Le Manotel
552,Samarai,PG,81.12,overcast clouds,-10.62,150.67,Nuli Sapi
554,Hobyo,SO,78.94,broken clouds,5.35,48.53,Halane Hotel and Restaurent
555,Owando,CG,75.56,scattered clouds,-0.48,15.9,Exaunel Hotel Owando
567,Karratha,AU,79.38,light rain,-20.74,116.85,ibis Styles Karratha
571,Alofi,NU,78.8,overcast clouds,-19.06,-169.92,Taloa Heights
574,Qui Nhon,VN,75.16,light rain,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
580,Alyangula,AU,75.2,mist,-13.85,136.42,Groote Eylandt Lodge
585,Coari,BR,88.52,overcast clouds,-4.08,-63.14,HOTEL ALEX FLAT
586,Totness,SR,81.88,moderate rain,5.88,-56.32,STAATS LOGEERGEBOUW TOTNESS
590,Celestun,MX,84.47,few clouds,20.87,-90.4,Posada Lilia
594,Beyla,GN,76.55,broken clouds,8.68,-8.63,DIAN SINKO
600,Santa Maria,BR,87.8,scattered clouds,-29.68,-53.81,Hotel Morotin
601,Ovalle,CL,89.15,clear sky,-30.6,-71.2,Hotel Altos de Tuqui
603,El Alto,PE,80.6,clear sky,-4.27,-81.21,Black Marlin Lodge & Restaurant
604,Osmena,PH,82.02,clear sky,10.52,119.93,Arjemarkyza Lodge
605,Rocha,UY,79.72,clear sky,-34.48,-54.33,Beleza Pura B&B
612,Santa Marta,CO,87.01,overcast clouds,11.24,-74.2,Hotel La Ballena Azul
619,Tautira,PF,86.0,few clouds,-17.73,-149.15,Pension Oaoa
622,Sola,VU,78.48,overcast clouds,-13.88,167.55,Ulkel Guest House
627,Sawakin,SD,76.84,scattered clouds,19.11,37.33,فندق الدويم
652,Punta De Piedra,VE,86.18,clear sky,7.62,-71.49,Casa 7 Punta de Piedra
658,Dwarka,IN,77.04,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
659,Berbera,SO,79.27,clear sky,10.44,45.01,Damal Hotel
661,Jaguarao,BR,83.12,clear sky,-32.57,-53.38,Hotel Rio's
663,Alenquer,BR,89.6,few clouds,-1.94,-54.74,Josilene Castro
668,Claveria,PH,75.15,overcast clouds,18.61,121.08,Jay n Joy Inn
669,Sao Raimundo Nonato,BR,85.64,overcast clouds,-9.02,-42.7,Real Hotel
675,Pemangkat,ID,75.52,moderate rain,1.17,108.97,Kost H.Syamsuddin
677,Banda Aceh,ID,78.44,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
